epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4931.72,2.34569,3.88843,0.00776,0.65428,0.59686,0.6128,0.29953,1.88987,2.24976,0.01151,0.000918991,0.000918991,0.000918991
43,5036.69,2.33074,3.87031,0.00775,0.64719,0.5741,0.60231,0.28205,1.97535,2.27755,0.01267,0.000897557,0.000897557,0.000897557
44,5212.43,2.33789,3.87828,0.00762,0.65898,0.60259,0.62797,0.30433,1.90665,2.19906,0.01192,0.00087595,0.00087595,0.00087595
45,5321.64,2.3181,3.81946,0.00784,0.67008,0.60869,0.63841,0.3109,1.90079,2.21904,0.01177,0.00085419,0.00085419,0.00085419
46,5502.46,2.3097,3.79673,0.00746,0.66275,0.60768,0.62723,0.30142,1.95266,2.2051,0.01224,0.0008323,0.0008323,0.0008323
47,5624.45,2.29874,3.7704,0.00733,0.6761,0.61171,0.63839,0.32423,1.75779,2.08298,0.01028,0.0008103,0.0008103,0.0008103
48,5859.25,2.29629,3.82548,0.00764,0.70517,0.59942,0.64116,0.30891,1.92287,2.18257,0.01231,0.000788213,0.000788213,0.000788213
49,6174.59,2.2907,3.7392,0.00744,0.71084,0.61984,0.65624,0.33033,1.83653,2.08482,0.0109,0.00076606,0.00076606,0.00076606
50,6238.51,2.27534,3.74027,0.00758,0.72994,0.61543,0.65872,0.32164,1.86376,2.11391,0.01137,0.000743864,0.000743864,0.000743864
51,6442.37,2.28426,3.75745,0.00741,0.69621,0.62537,0.66193,0.33853,1.74608,2.06881,0.01014,0.000721645,0.000721645,0.000721645
52,6543.61,2.30075,3.76105,0.00732,0.71429,0.64372,0.67869,0.35474,1.72866,1.98381,0.0099,0.000699426,0.000699426,0.000699426
53,6696.74,2.28049,3.66718,0.00734,0.70992,0.63375,0.67293,0.35053,1.74042,2.02116,0.01015,0.00067723,0.00067723,0.00067723
54,6856.73,2.27513,3.73196,0.0074,0.6997,0.63329,0.6739,0.34767,1.76235,2.00674,0.01012,0.000655077,0.000655077,0.000655077
55,7013.19,2.27134,3.63406,0.00724,0.72101,0.63568,0.68023,0.34896,1.7642,2.02965,0.01048,0.00063299,0.00063299,0.00063299
56,7119.29,2.25739,3.61859,0.00724,0.71719,0.63611,0.67366,0.33579,1.86045,2.0434,0.01109,0.00061099,0.00061099,0.00061099
57,7279.99,2.23596,3.59271,0.00727,0.73696,0.63838,0.68742,0.34831,1.80915,2.01,0.01063,0.0005891,0.0005891,0.0005891
58,7460.03,2.25452,3.6184,0.00719,0.73596,0.65098,0.69824,0.36385,1.73004,1.97349,0.00982,0.00056734,0.00056734,0.00056734
59,7620.99,2.25178,3.58993,0.00715,0.75044,0.65301,0.69744,0.36466,1.71469,1.96454,0.00992,0.000545733,0.000545733,0.000545733
60,7827.3,2.24108,3.48382,0.00709,0.72638,0.64035,0.68805,0.35473,1.76225,1.97207,0.01033,0.000524299,0.000524299,0.000524299
61,7885.04,2.24685,3.57929,0.00686,0.72953,0.63712,0.68676,0.34748,1.7909,1.97228,0.01025,0.00050306,0.00050306,0.00050306
62,8069.48,2.24643,3.55432,0.00689,0.74272,0.65535,0.70462,0.3734,1.6969,1.90006,0.00951,0.000482037,0.000482037,0.000482037
63,8118.79,2.23606,3.4773,0.00708,0.75941,0.64205,0.7026,0.36866,1.74415,1.88916,0.00982,0.00046125,0.00046125,0.00046125
64,8168.34,2.23542,3.55441,0.00704,0.76436,0.65762,0.70854,0.37072,1.73799,1.90968,0.01007,0.00044072,0.00044072,0.00044072
65,8218.33,2.23444,3.50586,0.00704,0.74881,0.66269,0.71763,0.38423,1.67442,1.85012,0.0093,0.000420468,0.000420468,0.000420468
66,8274.42,2.22586,3.46442,0.00695,0.77228,0.65573,0.71733,0.38143,1.71929,1.85245,0.00956,0.000400513,0.000400513,0.000400513
67,8326.13,2.2004,3.42908,0.00685,0.76107,0.6585,0.7168,0.37929,1.6957,1.86547,0.0093,0.000380874,0.000380874,0.000380874
68,8376.55,2.18926,3.41577,0.00687,0.7717,0.65941,0.71659,0.37364,1.75703,1.85825,0.00991,0.000361572,0.000361572,0.000361572
69,8425.59,2.21707,3.442,0.00695,0.77267,0.66301,0.72195,0.38127,1.70782,1.83116,0.0093,0.000342625,0.000342625,0.000342625
70,8475.05,2.19661,3.42164,0.00682,0.78142,0.67649,0.73521,0.39065,1.70741,1.82871,0.00942,0.000324053,0.000324053,0.000324053
71,8524.19,2.1864,3.42114,0.00678,0.80279,0.6541,0.73077,0.39084,1.68519,1.84311,0.0092,0.000305872,0.000305872,0.000305872
72,8574.44,2.17433,3.36846,0.0068,0.78629,0.66319,0.72615,0.39228,1.68347,1.80632,0.00918,0.000288102,0.000288102,0.000288102
73,8626.03,2.21068,3.45315,0.00679,0.78586,0.6696,0.73201,0.39459,1.6698,1.8043,0.00905,0.00027076,0.00027076,0.00027076
74,8675.41,2.19454,3.41555,0.00678,0.79198,0.66549,0.73181,0.39471,1.67469,1.81557,0.0092,0.000253863,0.000253863,0.000253863
75,8726.93,2.18391,3.39815,0.00676,0.77366,0.6743,0.7291,0.38918,1.70724,1.82313,0.00946,0.000237427,0.000237427,0.000237427
76,8776.2,2.16173,3.39453,0.00672,0.80034,0.66126,0.73274,0.39192,1.71856,1.82843,0.00945,0.000221469,0.000221469,0.000221469
77,8826.01,2.1712,3.36969,0.00668,0.79199,0.6776,0.7404,0.3938,1.70989,1.80448,0.00932,0.000206005,0.000206005,0.000206005
78,8875.49,2.17475,3.33941,0.00663,0.79052,0.65942,0.73164,0.38233,1.7718,1.83339,0.00987,0.00019105,0.00019105,0.00019105
79,8924.39,2.16385,3.275,0.00664,0.80003,0.66685,0.73834,0.39187,1.74375,1.79621,0.0096,0.000176619,0.000176619,0.000176619
80,8973.76,2.14636,3.31663,0.00655,0.78133,0.6781,0.73796,0.39197,1.73337,1.7945,0.00945,0.000162725,0.000162725,0.000162725
81,9023.25,2.15243,3.27157,0.00654,0.79338,0.67481,0.74161,0.39294,1.7307,1.78584,0.0094,0.000149383,0.000149383,0.000149383
82,9071.54,2.14283,3.30014,0.00648,0.78777,0.68119,0.74106,0.39535,1.71538,1.78679,0.00933,0.000136605,0.000136605,0.000136605
83,9121.14,2.15179,3.29,0.00646,0.79175,0.67764,0.74403,0.40257,1.68682,1.77159,0.009,0.000124405,0.000124405,0.000124405
84,9170.65,2.14711,3.31133,0.00664,0.78556,0.6829,0.74369,0.40166,1.68234,1.77229,0.00901,0.000112795,0.000112795,0.000112795
85,9220.8,2.14847,3.33919,0.00654,0.79607,0.67672,0.74376,0.40346,1.68187,1.76764,0.00905,0.000101785,0.000101785,0.000101785
